iteration, trainLoss, valLoss, testLoss, trainAcc, valAcc, testAcc
4512, 0.078, 0.132, 0.126, 0.957, 0.954, 0.963
4559, 0.070, 0.113, 0.116, 0.961, 0.963, 0.965
4606, 0.074, 0.123, 0.118, 0.959, 0.960, 0.964
4653, 0.077, 0.136, 0.126, 0.957, 0.952, 0.962
4700, 0.062, 0.105, 0.113, 0.963, 0.966, 0.966
4747, 0.056, 0.101, 0.107, 0.965, 0.967, 0.970
4794, 0.047, 0.094, 0.095, 0.968, 0.970, 0.973
4841, 0.043, 0.085, 0.092, 0.970, 0.974, 0.975
4888, 0.036, 0.082, 0.083, 0.972, 0.977, 0.978
4935, 0.038, 0.089, 0.080, 0.971, 0.974, 0.977
4982, 0.034, 0.083, 0.079, 0.972, 0.975, 0.978
5029, 0.039, 0.084, 0.095, 0.970, 0.974, 0.975
5076, 0.032, 0.079, 0.079, 0.973, 0.976, 0.979
5123, 0.035, 0.083, 0.080, 0.972, 0.975, 0.978
5170, 0.030, 0.079, 0.076, 0.973, 0.976, 0.980
5217, 0.036, 0.089, 0.095, 0.972, 0.975, 0.976
5264, 0.035, 0.083, 0.087, 0.972, 0.975, 0.978
5311, 0.042, 0.095, 0.085, 0.969, 0.971, 0.975
5358, 0.050, 0.109, 0.091, 0.967, 0.967, 0.975
5405, 0.048, 0.107, 0.088, 0.966, 0.965, 0.974
5452, 0.058, 0.114, 0.094, 0.964, 0.965, 0.971
